query name	subject	percent identities	aligned length	number of mismatched positions	number of gap positions	query sequence start	query sequence end	subject sequence start	subject sequence end	e-value	bit score
A_07_P061371	ECs4983	100.00	60	0	0	1	60	280	339	5e-28	119
A_07_P051786	ECs3138	100.00	60	0	0	1	60	344	403	5e-28	119
A_07_P017818	ECs4209	96.67	60	2	0	1	60	1725	1784	3e-23	103
A_07_P013136	ECs3288	100.00	60	0	0	1	60	1658	1717	5e-28	119
A_07_P020852	ECs2353	98.33	60	1	0	1	60	690	749	1e-25	111
A_07_P019305	ECs4832	98.21	56	1	0	5	60	202	257	3e-23	103
A_07_P046853	ECs1341	100.00	60	0	0	1	60	534	593	5e-28	119
A_07_P032067	ECs2867	98.18	55	1	0	1	55	108	162	1e-22	101
A_07_P043188	ECs3614	100.00	60	0	0	1	60	1380	1439	5e-28	119
A_07_P001283	ECs1256	98.31	59	1	0	1	59	235	293	5e-25	109
A_07_P018272	ECs4297	95.00	60	3	0	1	60	623	682	7e-21	95.6
A_07_P055581	ECs2835	100.00	60	0	0	1	60	1290	1349	5e-28	119
A_07_P057721	ECs4671	100.00	60	0	0	1	60	1658	1717	5e-28	119
A_07_P011333	ECs5101	98.33	60	1	0	1	60	919	978	1e-25	111
A_07_P051326	ECs3004	100.00	60	0	0	1	60	96	155	5e-28	119
A_07_P056231	ECs3729	100.00	60	0	0	1	60	181	240	5e-28	119
A_07_P060206	ECs4504	100.00	60	0	0	1	60	594	653	5e-28	119
A_07_P056560	ECs0694	100.00	60	0	0	1	60	847	906	5e-28	119
A_07_P043462	ECs0290	100.00	60	0	0	1	60	111	170	5e-28	119
A_07_P015892	ECs2553	100.00	60	0	0	1	60	104	163	5e-28	119
A_07_P020256	ECs2129	98.33	60	1	0	1	60	835	894	1e-25	111
A_07_P011601	ECs5153	100.00	60	0	0	1	60	524	583	5e-28	119
A_07_P059612	ECs0231	100.00	60	0	0	1	60	1128	1187	5e-28	119
A_07_P015985	ECs2571	98.33	60	1	0	1	60	186	245	1e-25	111
A_07_P046176	ECs4333	100.00	60	0	0	1	60	1618	1677	5e-28	119
A_07_P034116	ECs4044	100.00	60	0	0	1	60	840	781	5e-28	119
A_07_P014047	ECs0281	92.45	53	4	0	5	57	415	467	3e-14	73.8
A_07_P060575	ECs1420	100.00	60	0	0	1	60	306	365	5e-28	119
A_07_P012573	ECs4093	96.43	56	2	0	5	60	958	1013	7e-21	95.6
A_07_P011872	ECs3822	100.00	60	0	0	1	60	593	652	5e-28	119
A_07_P060612	ECs1507	100.00	60	0	0	1	60	237	296	5e-28	119
A_07_P046451	ECs0827	100.00	60	0	0	1	60	1001	1060	5e-28	119
A_07_P062059	ECs1186	100.00	60	0	0	1	60	122	181	5e-28	119
A_07_P048560	ECs2049	100.00	60	0	0	1	60	108	167	5e-28	119
A_07_P002719	ECs0155	100.00	60	0	0	1	60	5	64	5e-28	119
A_07_P045638	ECs3758	100.00	60	0	0	1	60	295	354	5e-28	119
A_07_P008634	ECs4917	98.28	58	1	0	1	58	1502	1559	2e-24	107
A_07_P006266	ECs3713	98.33	60	1	0	1	60	307	366	1e-25	111
A_07_P045517	ECs3104	100.00	60	0	0	1	60	982	1041	5e-28	119
A_07_P012599	ECs4098	98.21	56	1	0	1	56	694	749	3e-23	103
A_07_P044393	ECs2306	100.00	60	0	0	1	60	165	224	5e-28	119
A_07_P042427	ECs2615	100.00	60	0	0	1	60	876	935	5e-28	119
A_07_P063373	ECs3306	100.00	60	0	0	1	60	586	645	5e-28	119
A_07_P062415	ECs1279	100.00	60	0	0	1	60	663	722	5e-28	119
A_07_P057474	ECs4571	100.00	60	0	0	1	60	99	158	5e-28	119
A_07_P033519	ECs0926	100.00	58	0	0	3	60	185	242	8e-27	115
A_07_P031201	ECs0529	98.28	58	1	0	3	60	715	772	2e-24	107
A_07_P034071	ECs3993	95.00	60	3	0	1	60	246	305	7e-21	95.6
A_07_P052735	ECs3555	100.00	60	0	0	1	60	431	490	5e-28	119
A_07_P004990	ECs0991	96.67	60	2	0	1	60	1090	1149	3e-23	103
A_07_P042915	ECs3429	100.00	60	0	0	1	60	202	261	5e-28	119
A_07_P017550	ECs5331	100.00	60	0	0	1	60	185	244	5e-28	119
A_07_P000206	ECs3978	98.33	60	1	0	1	60	197	256	1e-25	111
A_07_P045241	ECs1989	100.00	60	0	0	1	60	410	469	5e-28	119
A_07_P057942	ECs4912	100.00	60	0	0	1	60	350	409	5e-28	119
A_07_P049376	ECs4370	100.00	60	0	0	1	60	1133	1192	5e-28	119
A_07_P057451	ECs4567	100.00	60	0	0	1	60	136	195	5e-28	119
A_07_P013816	ECs3190	94.83	58	3	0	1	58	641	698	1e-19	91.7
A_07_P045910	ECs4014	100.00	60	0	0	1	60	49	108	5e-28	119
A_07_P044486	ECs2500	100.00	60	0	0	1	60	1118	1177	5e-28	119
A_07_P063247	ECs2517	100.00	60	0	0	1	60	1597	1656	5e-28	119
A_07_P010994	ECs0065	98.33	60	1	0	1	60	420	479	1e-25	111
A_07_P031178	ECs0505	98.33	60	1	0	1	60	307	366	1e-25	111
A_07_P016974	ECs4484	98.33	60	1	0	1	60	14	73	1e-25	111
A_07_P043851	ECs0471	100.00	60	0	0	1	60	187	246	5e-28	119
A_07_P043913	ECs0544	100.00	60	0	0	1	60	1012	1071	5e-28	119
A_07_P042878	ECs3398	100.00	60	0	0	1	60	675	734	5e-28	119
A_07_P058997	etpD	100.00	60	0	0	1	60	926	985	5e-28	119
A_07_P013474	ECs3345	100.00	60	0	0	1	60	583	642	5e-28	119
A_07_P011390	ECs5112	96.67	60	2	0	1	60	1399	1458	3e-23	103
A_07_P042718	ECs3236	100.00	60	0	0	1	60	546	605	5e-28	119
A_07_P009609	ECs2109	100.00	60	0	0	1	60	418	477	5e-28	119
A_07_P011850	ECs3817	100.00	60	0	0	1	60	176	235	5e-28	119
A_07_P048190	ECs2011	100.00	60	0	0	1	60	790	849	5e-28	119
A_07_P059680	ECs4014	100.00	60	0	0	1	60	49	108	5e-28	119
A_07_P011045	ECs0075	98.33	60	1	0	1	60	293	352	1e-25	111
A_07_P034044	ECs3967	94.92	59	3	0	2	60	234	292	3e-20	93.7
A_07_P037986	ECs5414	96.55	58	2	0	1	58	154	97	5e-22	99.6
A_07_P061195	ECs2161	100.00	60	0	0	1	60	3396	3455	5e-28	119
A_07_P042419	ECs2550	96.67	60	2	0	1	60	413	472	3e-23	103
A_07_P061649	ECs5248	100.00	60	0	0	1	60	403	462	5e-28	119
A_07_P051241	ECs2161	100.00	60	0	0	1	60	3417	3476	5e-28	119
A_07_P006998	ECs1714	100.00	60	0	0	1	60	480	539	5e-28	119
A_07_P011439	ECs5122	98.33	60	1	0	1	60	1061	1120	1e-25	111
A_07_P041992	ECs4934	95.00	60	3	0	1	60	1412	1471	7e-21	95.6
A_07_P021099	ECs0447	95.00	60	3	0	1	60	3037	3096	7e-21	95.6
A_07_P057689	ECs4659	100.00	60	0	0	1	60	104	163	5e-28	119
A_07_P053578	ECs0276	100.00	60	0	0	1	60	52	111	5e-28	119
A_07_P030957	ECs0349	98.33	60	1	0	1	60	134	193	1e-25	111
A_07_P056298	ECs3783	100.00	60	0	0	1	60	97	156	5e-28	119
A_07_P033841	ECs0996	91.67	60	5	0	1	60	2105	2164	4e-16	79.8
A_07_P047511	ECs5282	100.00	60	0	0	1	60	769	828	5e-28	119
A_07_P052157	ECs4260	100.00	60	0	0	1	60	2415	2474	5e-28	119
A_07_P042898	ECs5498	100.00	60	0	0	1	60	122	181	5e-28	119
A_07_P045765	ECs5518	100.00	60	0	0	1	60	160	101	5e-28	119
A_07_P006550	ECs3787	100.00	60	0	0	1	60	1822	1881	5e-28	119
A_07_P018465	ECs2389	100.00	60	0	0	1	60	617	676	5e-28	119
A_07_P019553	ECs3396	100.00	60	0	0	1	60	1035	1094	5e-28	119
A_07_P059457	ECs0136	100.00	60	0	0	1	60	831	890	5e-28	119
A_07_P054128	ECs0549	100.00	60	0	0	1	60	248	307	5e-28	119
A_07_P063454	ECs3774	100.00	60	0	0	1	60	2442	2501	5e-28	119
A_07_P017950	ECs4226	96.67	60	2	0	1	60	602	661	3e-23	103
A_07_P005980	ECs4752	98.33	60	1	0	1	60	1605	1664	1e-25	111
A_07_P049525	ECs4478	100.00	60	0	0	1	60	162	221	5e-28	119
A_07_P002588	ECs0129	98.33	60	1	0	1	60	250	309	1e-25	111
A_07_P059760	ECs4190	100.00	60	0	0	1	60	7	66	5e-28	119
A_07_P030153	ECs3370	100.00	59	0	0	2	60	1096	1154	2e-27	117
A_07_P046996	ECs4755	100.00	60	0	0	1	60	316	375	5e-28	119
A_07_P054279	ECs2069	100.00	60	0	0	1	60	477	536	5e-28	119
A_07_P030859	ECs0265	98.33	60	1	0	1	60	423	364	1e-25	111
A_07_P004961	ECs0986	100.00	60	0	0	1	60	2219	2278	5e-28	119
A_07_P007585	ECs4410	98.33	60	1	0	1	60	2497	2556	1e-25	111
A_07_P051667	ECs1287	100.00	60	0	0	1	60	134	193	5e-28	119
A_07_P040739	ECs1411	96.67	60	2	0	1	60	453	512	3e-23	103
A_07_P005826	ECs4723	100.00	60	0	0	1	60	486	545	5e-28	119
A_07_P013401	ECs3331	100.00	60	0	0	1	60	1522	1581	5e-28	119
A_07_P048359	ECs1954	100.00	60	0	0	1	60	882	941	5e-28	119
A_07_P050550	ECs2178	100.00	60	0	0	1	60	96	155	5e-28	119
A_07_P017598	ECs5342	100.00	60	0	0	1	60	1161	1220	5e-28	119
A_07_P052627	ECs2892	100.00	60	0	0	1	60	720	779	5e-28	119
A_07_P049733	ECs4568	100.00	60	0	0	1	60	1197	1256	5e-28	119
A_07_P056708	ECs0807	100.00	60	0	0	1	60	21	80	5e-28	119
A_07_P003760	ECs5218	100.00	60	0	0	1	60	350	409	5e-28	119
A_07_P006273	ECs3714	100.00	60	0	0	1	60	103	162	5e-28	119
A_07_P014920	ECs2616	100.00	60	0	0	1	60	17	76	5e-28	119
A_07_P011588	ECs5150	100.00	60	0	0	1	60	980	1039	5e-28	119
A_07_P009955	ECs0718	100.00	60	0	0	1	60	11	70	5e-28	119
A_07_P047053	ECs4816	100.00	60	0	0	1	60	116	175	5e-28	119
A_07_P021334	ECs0498	98.33	60	1	0	1	60	521	580	1e-25	111
A_07_P059775	ECs4244	100.00	60	0	0	1	60	1602	1661	5e-28	119
A_07_P003374	ECs2931	100.00	60	0	0	1	60	1390	1449	5e-28	119
A_07_P050012	ECs4747	100.00	60	0	0	1	60	655	714	5e-28	119
A_07_P046137	ECs4325	100.00	60	0	0	1	60	1003	1062	5e-28	119
A_07_P043971	ECs0603	100.00	60	0	0	1	60	1155	1214	5e-28	119
A_07_P062208	ECs1219	100.00	60	0	0	1	60	62	121	5e-28	119
A_07_P015744	ECs2519	100.00	60	0	0	1	60	152	211	5e-28	119
A_07_P050021	ECs4748	100.00	60	0	0	1	60	200	259	5e-28	119
A_07_P057935	ECs4899	100.00	60	0	0	1	60	883	942	5e-28	119
A_07_P032290	ECs3081	93.33	60	4	0	1	60	1783	1842	2e-18	87.7
A_07_P035397	ECs1614	98.33	60	1	0	1	60	133	192	1e-25	111
A_07_P020811	ECs2345	95.00	60	3	0	1	60	421	480	7e-21	95.6
A_07_P053407	ECs3305	100.00	60	0	0	1	60	366	425	5e-28	119
A_07_P061489	ECs5029	100.00	60	0	0	1	60	204	263	5e-28	119
A_07_P005317	ECs1131	100.00	60	0	0	1	60	489	548	5e-28	119
A_07_P058616	ECs1948	100.00	60	0	0	1	60	231	290	5e-28	119
A_07_P051428	ECs1205	100.00	60	0	0	1	60	818	877	5e-28	119
A_07_P003199	ECs2891	94.74	57	3	0	4	60	307	363	4e-19	89.7
A_07_P009499	ECs2086	100.00	60	0	0	1	60	100	159	5e-28	119
A_07_P033376	ECs0732	90.57	53	5	0	4	56	271	323	6e-12	65.9
A_07_P051100	ECs1075	100.00	60	0	0	1	60	214	273	5e-28	119
A_07_P053705	ECs0301	100.00	60	0	0	1	60	18	77	5e-28	119
A_07_P050583	ECs1638	100.00	60	0	0	1	60	514	573	5e-28	119
A_07_P013863	ECs3199	100.00	60	0	0	1	60	993	1052	5e-28	119
A_07_P032576	ECs3619	93.33	60	4	0	1	60	751	810	2e-18	87.7
A_07_P049917	ECs4649	100.00	60	0	0	1	60	373	432	5e-28	119
A_07_P001133	ECs3157	98.31	59	1	0	2	60	996	1054	5e-25	109
A_07_P060536	ECs1404	100.00	60	0	0	1	60	33	92	5e-28	119
A_07_P044588	ECs2634	100.00	60	0	0	1	60	404	463	5e-28	119
A_07_P043432	ECs0280	100.00	60	0	0	1	60	714	773	5e-28	119
A_07_P021179	ECs0466	100.00	60	0	0	1	60	372	431	5e-28	119
A_07_P003515	ECs3042	94.55	55	3	0	2	56	566	620	7e-18	85.7
A_07_P063542	ECs4260	100.00	60	0	0	1	60	2415	2474	5e-28	119
A_07_P009441	ECs2073	96.67	60	2	0	1	60	1178	1237	3e-23	103
A_07_P051702	ECs0737	100.00	60	0	0	1	60	632	691	5e-28	119
A_07_P007673	ECs4434	98.33	60	1	0	1	60	447	506	1e-25	111
A_07_P047883	ECs1100	100.00	60	0	0	1	60	120	179	5e-28	119
A_07_P031141	ECs0488	100.00	56	0	0	5	60	461	406	1e-25	111
A_07_P055891	ECs3499	100.00	60	0	0	1	60	255	314	5e-28	119
A_07_P008863	ECs5027	100.00	60	0	0	1	60	587	646	5e-28	119
A_07_P033929	ECs1148	98.33	60	1	0	1	60	97	156	1e-25	111
A_07_P010846	ECs0035	98.33	60	1	0	1	60	143	202	1e-25	111
A_07_P063252	ECs2555	100.00	60	0	0	1	60	1961	2020	5e-28	119
A_07_P002361	ECs3643	100.00	60	0	0	1	60	92	151	5e-28	119
A_07_P059869	ECs4300	100.00	60	0	0	1	60	652	711	5e-28	119
A_07_P018861	ECs2469	96.67	60	2	0	1	60	1590	1649	3e-23	103
A_07_P049716	ECs4565	100.00	60	0	0	1	60	686	745	5e-28	119
A_07_P013364	ECs3323	98.33	60	1	0	1	60	103	162	1e-25	111
A_07_P009026	ECs5059	98.31	59	1	0	1	59	925	983	5e-25	109
A_07_P020600	ECs2299	100.00	60	0	0	1	60	193	252	5e-28	119
A_07_P011623	ECs5157	100.00	60	0	0	1	60	331	390	5e-28	119
A_07_P009252	ECs3276	98.33	60	1	0	1	60	1017	1076	1e-25	111
A_07_P006426	ECs3764	93.33	60	4	0	1	60	1312	1371	2e-18	87.7
A_07_P041534	ECs0567	95.00	60	3	0	1	60	632	691	7e-21	95.6
A_07_P005991	ECs3659	100.00	60	0	0	1	60	281	340	5e-28	119
A_07_P058017	ECs4949	100.00	51	0	0	10	60	12	62	1e-22	101
A_07_P034279	ECs4168	100.00	60	0	0	1	60	111	52	5e-28	119
A_07_P048470	ECs1899	100.00	60	0	0	1	60	926	985	5e-28	119
A_07_P008605	ECs4911	100.00	60	0	0	1	60	3721	3780	5e-28	119
A_07_P044913	ECs2773	100.00	60	0	0	1	60	869	928	5e-28	119
A_07_P040806	ECs1492	98.33	60	1	0	1	60	2556	2615	1e-25	111
A_07_P020104	ECs3515	98.33	60	1	0	1	60	4378	4437	1e-25	111
A_07_P003556	ECs3051	100.00	60	0	0	1	60	456	515	5e-28	119
A_07_P003377	ECs2934	100.00	60	0	0	1	60	317	376	5e-28	119
A_07_P053458	ECs3398	100.00	60	0	0	1	60	675	734	5e-28	119
A_07_P061980	ECs1170	100.00	60	0	0	1	60	10	69	5e-28	119
A_07_P036811	ECs3915	98.33	60	1	0	1	60	122	181	1e-25	111
A_07_P009956	ECs0719	100.00	60	0	0	1	60	1573	1632	5e-28	119
A_07_P008728	ECs4935	100.00	60	0	0	1	60	2127	2186	5e-28	119
A_07_P056799	ECs0826	100.00	60	0	0	1	60	67	126	5e-28	119
A_07_P007289	ECs4319	98.33	60	1	0	1	60	177	236	1e-25	111
A_07_P014186	ECs3261	96.55	58	2	0	3	60	619	676	5e-22	99.6
A_07_P044279	ECs5456	100.00	60	0	0	1	60	58	117	5e-28	119
A_07_P003401	ECs3015	98.33	60	1	0	1	60	119	178	1e-25	111
A_07_P055548	ECs2814	100.00	60	0	0	1	60	7	66	5e-28	119
A_07_P017173	ECs4521	100.00	60	0	0	1	60	495	554	5e-28	119
A_07_P045570	ECs3190	100.00	60	0	0	1	60	10	69	5e-28	119
A_07_P044078	ECs1865	100.00	60	0	0	1	60	682	741	5e-28	119
A_07_P049559	ECs4501	100.00	60	0	0	1	60	1065	1124	5e-28	119
A_07_P021347	ECs0501	100.00	60	0	0	1	60	400	459	5e-28	119
A_07_P021005	ECs0428	100.00	56	0	0	5	60	890	945	1e-25	111
A_07_P021356	ECs0503	100.00	60	0	0	1	60	1040	1099	5e-28	119
A_07_P046210	ECs4339	100.00	60	0	0	1	60	321	380	5e-28	119
A_07_P040286	ECs4335	100.00	60	0	0	1	60	484	543	5e-28	119
A_07_P062388	ECs1274	100.00	60	0	0	1	60	280	339	5e-28	119
A_07_P052595	ECs2650	100.00	60	0	0	1	60	459	518	5e-28	119
A_07_P000396	ECs4015	98.33	60	1	0	1	60	1096	1155	1e-25	111
A_07_P018014	ECs4239	100.00	56	0	0	1	56	352	407	1e-25	111
A_07_P057860	ECs4828	100.00	60	0	0	1	60	192	251	5e-28	119
A_07_P030524	ECs3527	98.33	60	1	0	1	60	119	60	1e-25	111
A_07_P007703	ECs4440	100.00	60	0	0	1	60	101	160	5e-28	119
A_07_P010438	ECs2081	96.67	60	2	0	1	60	120	179	3e-23	103
A_07_P051151	ECs2255	100.00	60	0	0	1	60	29	88	5e-28	119
A_07_P050289	ECs1546	100.00	60	0	0	1	60	179	238	5e-28	119
A_07_P056330	ECs3802	100.00	60	0	0	1	60	570	629	5e-28	119
A_07_P005727	ECs4703	100.00	60	0	0	1	60	127	186	5e-28	119
A_07_P040757	ECs1428	96.67	60	2	0	1	60	155	214	3e-23	103
A_07_P030343	ECs1641	90.00	60	6	0	1	60	197	256	1e-13	71.9
A_07_P033988	ECs1302	98.33	60	1	0	1	60	236	295	1e-25	111
A_07_P044296	ECs5457	100.00	60	0	0	1	60	74	133	2e-15	77.8
A_07_P062229	ECs1223	100.00	60	0	0	1	60	1076	1135	5e-28	119
A_07_P015874	ECs2549	98.33	60	1	0	1	60	266	325	1e-25	111
A_07_P054207	ECs0636	100.00	60	0	0	1	60	74	133	5e-28	119
A_07_P035263	ECs2489	93.33	60	4	0	1	60	778	837	2e-18	87.7
A_07_P054572	ECs2202	100.00	60	0	0	1	60	148	207	5e-28	119
A_07_P015956	ECs2566	100.00	60	0	0	1	60	771	830	5e-28	119
A_07_P030911	ECs0331	100.00	60	0	0	1	60	749	808	5e-28	119
A_07_P008351	ECs0385	92.73	55	4	0	6	60	891	837	2e-15	77.8
A_07_P050588	ECs1639	100.00	60	0	0	1	60	337	396	5e-28	119
A_07_P061904	ECs1125	100.00	60	0	0	1	60	72	131	2e-15	77.8
A_07_P038995	ECs4619	95.00	60	3	0	1	60	1275	1334	7e-21	95.6
A_07_P011619	ECs5156	98.33	60	1	0	1	60	75	134	1e-25	111
A_07_P002780	ECs0167	100.00	60	0	0	1	60	319	378	5e-28	119
A_07_P006629	ECs1607	96.08	51	2	0	1	51	563	613	7e-18	85.7
A_07_P059633	ECs0236	100.00	60	0	0	1	60	1555	1614	5e-28	119
A_07_P038615	ECs1645	100.00	60	0	0	1	60	72	131	5e-28	119
A_07_P009978	ECs0720	100.00	60	0	0	1	60	1253	1312	5e-28	119
A_07_P019872	ECs3462	100.00	60	0	0	1	60	1048	1107	5e-28	119
A_07_P050894	ECs1382	100.00	60	0	0	1	60	242	301	5e-28	119
A_07_P031971	ECs2813	93.33	60	4	0	1	60	1191	1250	2e-18	87.7
A_07_P017353	ECs4624	100.00	60	0	0	1	60	596	655	5e-28	119
A_07_P017677	ECs5357	98.33	60	1	0	1	60	1218	1277	1e-25	111
A_07_P049229	ECs0144	100.00	60	0	0	1	60	507	566	5e-28	119
A_07_P020776	ECs2338	100.00	60	0	0	1	60	1294	1353	5e-28	119
A_07_P001765	ECs1490	100.00	60	0	0	1	60	193	252	5e-28	119
A_07_P018922	ECs4753	100.00	60	0	0	1	60	372	431	5e-28	119
A_07_P032900	ECs3799	89.83	59	6	0	2	60	208	266	4e-13	69.9
A_07_P018491	ECs2395	100.00	60	0	0	1	60	219	278	5e-28	119
A_07_P058480	ECs1850	100.00	60	0	0	1	60	455	514	5e-28	119
A_07_P013253	ECs3310	100.00	60	0	0	1	60	359	418	5e-28	119
A_07_P055934	ECs3509	100.00	60	0	0	1	60	77	136	5e-28	119
A_07_P021519	ECs0535	98.33	60	1	0	1	60	619	678	1e-25	111
A_07_P038761	ECs1698	98.33	60	1	0	1	60	471	530	1e-25	111
A_07_P020676	ECs2315	100.00	60	0	0	1	60	750	809	5e-28	119
A_07_P018539	ECs2404	98.33	60	1	0	1	60	455	514	1e-25	111
A_07_P057752	ECs4747	100.00	60	0	0	1	60	655	714	5e-28	119
A_07_P042976	lcl|NC_002128.1_gene_34	100.00	60	0	0	1	60	1147	1206	5e-28	119
A_07_P040789	ECs1472	100.00	60	0	0	1	60	165	106	5e-28	119
A_07_P019176	ECs4803	91.07	56	5	0	5	60	1027	1082	1e-13	71.9
A_07_P007036	ECs1722	100.00	60	0	0	1	60	168	227	5e-28	119
A_07_P060217	ECs4506	100.00	60	0	0	1	60	871	930	5e-28	119
A_07_P017876	ECs4221	98.33	60	1	0	1	60	532	591	1e-25	111
A_07_P047099	ECs4832	100.00	60	0	0	1	60	439	498	5e-28	119
A_07_P047419	ECs5248	100.00	60	0	0	1	60	403	462	5e-28	119
A_07_P063397	ECs3543	100.00	60	0	0	1	60	955	1014	5e-28	119
A_07_P009450	ECs2073	100.00	59	0	0	2	60	473	531	2e-27	117
A_07_P055523	ECs2802	100.00	60	0	0	1	60	14	73	5e-28	119
A_07_P016680	ECs0623	100.00	60	0	0	1	60	1968	2027	5e-28	119
A_07_P007165	ECs1745	100.00	60	0	0	1	60	445	504	5e-28	119
A_07_P001070	ECs3144	100.00	60	0	0	1	60	693	752	5e-28	119
A_07_P016305	ECs0564	100.00	60	0	0	1	60	994	1053	5e-28	119
A_07_P038863	ECs5426	100.00	60	0	0	1	60	214	273	5e-28	119
A_07_P041357	ECs4789	96.43	56	2	0	1	56	1160	1215	7e-21	95.6
A_07_P001027	ECs3136	100.00	60	0	0	1	60	302	361	5e-28	119
A_07_P043353	ECs0236	100.00	60	0	0	1	60	1555	1614	5e-28	119
A_07_P063688	ECs4931	100.00	60	0	0	1	60	841	900	5e-28	119
A_07_P041146	ECs2039	100.00	60	0	0	1	60	1902	1961	5e-28	119
A_07_P047482	ECs5261	100.00	60	0	0	1	60	2749	2808	5e-28	119
A_07_P001034	ECs3137	100.00	60	0	0	1	60	436	495	5e-28	119
A_07_P053669	ECs0294	100.00	60	0	0	1	60	396	455	5e-28	119
A_07_P055080	ECs2632	100.00	60	0	0	1	60	125	184	5e-28	119
A_07_P014748	ECs1939	100.00	60	0	0	1	60	114	55	5e-28	119
A_07_P002744	ECs0160	100.00	60	0	0	1	60	136	195	5e-28	119
A_07_P035759	ECs0092	92.86	56	4	0	1	56	542	597	4e-16	79.8
A_07_P055701	ECs2885	100.00	60	0	0	1	60	1030	1089	5e-28	119
A_07_P033494	ECs0881	98.21	56	1	0	1	56	212	267	3e-23	103
A_07_P036901	ECs3946	93.33	60	4	0	1	60	299	358	2e-18	87.7
A_07_P040713	ECs4540	91.07	56	5	0	1	56	289	344	1e-13	71.9
A_07_P012813	ECs4142	98.33	60	1	0	1	60	769	828	1e-25	111
